Business,Category,City,Phone,Address,Rating,Reviews,Web presence,Existing link,Score,Google Maps
Las Cuatro Milpas,Mexican restaurant,San Diego,(619) 234-4460,"1985 National Ave Ste 1131, San Diego, CA 92113",4.6,4527,No website,,5658.8,https://www.google.com/maps/place/?q=place_id:ChIJ_2H_8mtT2YAR-NwWFrZW6LA
El Pastor Del Rica,Restaurant,Chula Vista,(619) 371-3421,"645 Broadway, Chula Vista, CA 91910",4.7,3805,No website,,4756.2,https://www.google.com/maps/place/?q=place_id:ChIJgTiG3zlN2YARh3lqtCrsDYM
T P Auto Repair,Auto repair shop,San Diego,(619) 299-6966,"2426 El Cajon Blvd, San Diego, CA 92104",5,2981,No website,,3726.2,https://www.google.com/maps/place/?q=place_id:ChIJf-3USvtU2YART2bIqzTlc78
Exclusive Smoke Shop - CBD and Vape Store San Diego,Tobacco shop,San Diego,(619) 230-5611,"3539 Adams Ave, San Diego, CA 92116",5,1820,No website,,2275.0,https://www.google.com/maps/place/?q=place_id:ChIJ48BGLEZV2YARhb9yxl-sK-c
Ray's Barber Shop,Barber shop,Lakeside,(619) 733-6454,"12403 Woodside Ave, Lakeside, CA 92040",4.9,1808,No website,,2260.0,https://www.google.com/maps/place/?q=place_id:ChIJbT3_E3fi24ARflERXJN2LKM
Lemon Grove Plaza,Shopping mall,Lemon Grove,(619) 296-8900,"7012 Broadway, Lemon Grove, CA 91945",4.2,2181,No website,,2181.0,https://www.google.com/maps/place/?q=place_id:ChIJ_8YXH81W2YARWGH6jZaj5f4
Humberto's Taco Shop,Taco restaurant,San Diego,(619) 266-8433,"1136 S 43rd St, San Diego, CA 92113",4.5,1635,No website,,2043.8,https://www.google.com/maps/place/?q=place_id:ChIJuQR-08lT2YARjWRrLSBuVHI
Pepper Tree Frosty,Ice cream shop,Vista,(760) 726-0732,"270 S Santa Fe Ave, Vista, CA 92084",4.6,1590,No website,,1987.5,https://www.google.com/maps/place/?q=place_id:ChIJe8mLGZ923IAR9m3rb1_7Me4
Humberto's Taco Shop,Taco restaurant,San Diego,(619) 231-8433,"1015 25th St, San Diego, CA 92102",4.5,1484,No website,,1855.0,https://www.google.com/maps/place/?q=place_id:ChIJO7dVFGNT2YARJAfZLUNg7GA
Rose Donuts,Donut shop,San Diego,(619) 294-8856,"5201 Linda Vista Rd, San Diego, CA 92110",4.7,1413,No website,,1766.2,https://www.google.com/maps/place/?q=place_id:ChIJg6oR3cGq3oAR_-WJ0Bxnhw8
El Pueblo Mexican Food & Bar - Del Mar,Mexican restaurant,Del Mar,(858) 523-9834,"2673 Via De La Valle Ste c, Del Mar, CA 92014",4.7,2473,Social only,https://elpueblomex.com/,1700.2,https://www.google.com/maps/place/?q=place_id:ChIJ7_uw68EJ3IARHoyxJdxqUyo
Fanuel Street Park,Park,San Diego,(858) 694-3049,"4000 Fanuel St, San Diego, CA 92109",4.6,1287,No website,,1608.8,https://www.google.com/maps/place/?q=place_id:ChIJQbnyLOgB3IAR5U_1cL2jEPE
Armando's Mexican Food,Mexican restaurant,San Diego,(619) 424-3291,"2295 Palm Ave, San Diego, CA 92154",4.3,1595,No website,,1595.0,https://www.google.com/maps/place/?q=place_id:ChIJxcBt2B5M2YAR83lzIrhFm0M
Albertaco's Mexican Food,Mexican restaurant,Vista,(760) 598-6047,"601 Sycamore Ave, Vista, CA 92083",4.1,1589,No website,,1589.0,https://www.google.com/maps/place/?q=place_id:ChIJHa-WCKx13IAR9vi1piVc8D8
Discount Smoke & Vape,Smoke shop,San Diego,(619) 212-1175,"1020 S 43rd St, San Diego, CA 92113",4.9,1213,No website,,1516.2,https://www.google.com/maps/place/?q=place_id:ChIJKWwdODZT2YARy9q35a0xkP4
Chef John's Fish & Chips,Fish & chips restaurant,Lemon Grove,(619) 465-7060,"8047 Broadway, Lemon Grove, CA 91945",4.5,1188,No website,,1485.0,https://www.google.com/maps/place/?q=place_id:ChIJQ5LKvtNQ2YARI32iHkX6PAY
Old Trolley Barn Park,Park,San Diego,(619) 525-8213,"1943 Adams Ave, San Diego, CA 92116",4.6,1172,No website,,1465.0,https://www.google.com/maps/place/?q=place_id:ChIJbzmN0x1V2YAR_ccEbNEWdZE
Vape Smoke Universe #1,Tobacco shop,San Diego,(858) 536-8611,"7190 Miramar Rd E115, San Diego, CA 92121",4.8,1121,No website,,1401.2,https://www.google.com/maps/place/?q=place_id:ChIJx2Mj2Uz_24ARIbubj_LXNl4
Roxy’s Tacos,Mexican restaurant,San Diego,(619) 349-4839,"815 C St, San Diego, CA 92101",4.8,1115,No website,,1393.8,https://www.google.com/maps/place/?q=place_id:ChIJq6aF4mBR2YARsaZs2SuCqwA
El Pueblo Mexican Food - Cardiff,Mexican restaurant,Cardiff,(760) 230-1771,"820 Birmingham Dr, Cardiff, CA 92007",4.7,1986,Social only,https://elpueblomex.com/,1365.4,https://www.google.com/maps/place/?q=place_id:ChIJ-83jugsN3IARsMJat5-cv6c
V's Barbershop - Carlsbad,Barber shop,Carlsbad,(760) 753-4321,"7615 Via Campanile #116, Carlsbad, CA 92009",4.9,1083,No website,,1353.8,https://www.google.com/maps/place/?q=place_id:ChIJsxe47A8L3IARuIF9qJGf-Hk
Venezia | Italian Cuisine,Italian restaurant,Oceanside,(760) 722-1228,"608 N Coast Hwy, Oceanside, CA 92054",4.5,1045,No website,,1306.2,https://www.google.com/maps/place/?q=place_id:ChIJu94U0TVu3IARGouKkbcpC_Q
Mariscos El Camarón,Mexican restaurant,Chula Vista,(619) 425-5835,"193 Broadway, Chula Vista, CA 91910",3.9,1273,No website,,1273.0,https://www.google.com/maps/place/?q=place_id:ChIJVYwuL_dN2YARSVjthCu854M
Carnitas y Mariscos Las Morelianas,Mexican restaurant,San Diego,(619) 239-6284,"2822 Imperial Ave, San Diego, CA 92102",4.2,1269,No website,,1269.0,https://www.google.com/maps/place/?q=place_id:ChIJBZw3wNVT2YARk7-PfOJ67AY
San Luis Mexican Food,Mexican restaurant,Oceanside,(760) 806-0049,"2600 Temple Heights Dr, Oceanside, CA 92056",4.6,1009,No website,,1261.2,https://www.google.com/maps/place/?q=place_id:ChIJDeR8bTNx3IARNPUjzMCYneY
Elite Buffet,Buffet restaurant,Lemon Grove,(619) 668-9239,"7014 Broadway, Lemon Grove, CA 91945",4.1,1259,No website,,1259.0,https://www.google.com/maps/place/?q=place_id:ChIJCYuM38xW2YARaAxSIn6bMes
San Diego Vapes Smoke Shop,Smoke shop,San Diego,(619) 310-6658,"610 University Ave, San Diego, CA 92103",5,945,No website,,1181.2,https://www.google.com/maps/place/?q=place_id:ChIJmbBktxNV2YAR30UEpXd0yvI
The Friendly,Pizza restaurant,San Diego,(619) 892-7840,"4592 30th St, San Diego, CA 92116",4.6,1717,Social only,https://facebook.com/thefriendlySD/,1180.4,https://www.google.com/maps/place/?q=place_id:ChIJ_4hA8f5U2YARcQ8TbhN_MwY
El Patio,Mexican restaurant,Chula Vista,(619) 422-9745,"410 Broadway, Chula Vista, CA 91910",4.5,1689,Social only,https://elpatiomex.com/,1161.2,https://www.google.com/maps/place/?q=place_id:ChIJ35ahhuVN2YARfyd9bRdzaKs
Poke ETC.,Hawaiian restaurant,National City,(619) 474-2866,"916 E 8th St, National City, CA 91950",4.6,911,No website,,1138.8,https://www.google.com/maps/place/?q=place_id:ChIJzcJMTDdS2YARMyN6FvF15-Q
The Friendly Tavern,Hamburger restaurant,San Diego,(619) 294-7675,"2632 University Ave, San Diego, CA 92104",4.5,904,No website,,1130.0,https://www.google.com/maps/place/?q=place_id:ChIJ7cKXb9NV2YAR3bPizYOtDj8
Don Bravo,Mexican restaurant,La Jolla,(858) 454-8940,"5504 La Jolla Blvd, La Jolla, CA 92037",4.3,1122,No website,,1122.0,https://www.google.com/maps/place/?q=place_id:ChIJ2bnUiyoC3IARqjpZ5rjOUMA
El Puerto Taco Shop,Taco restaurant,Spring Valley,(619) 462-3731,"2836 Bancroft Dr, Spring Valley, CA 91977",4.5,889,No website,,1111.2,https://www.google.com/maps/place/?q=place_id:ChIJ-Xpf3bhQ2YARY05oIdxbrGc
El Pueblo Mexican Food - Carlsbad,Mexican restaurant,Carlsbad,(760) 487-5820,"7720 Rancho Santa Fe Rd, Carlsbad, CA 92009",4.7,1608,Social only,https://elpueblomex.com/,1105.5,https://www.google.com/maps/place/?q=place_id:ChIJdw-_Zw4L3IAR01-3k7omP04
Casa Machado Restaurant,Mexican restaurant,San Diego,(858) 292-4716,"3750 John J Montgomery Dr, San Diego, CA 92123",4.5,1603,Social only,http://casamachadomex.com/,1102.1,https://www.google.com/maps/place/?q=place_id:ChIJD78u6dr_24ARwPd9G5aNv60
Marieta's,Mexican restaurant,Santee,(619) 449-2365,"8915 Carlton Hills Blvd, Santee, CA 92071",4.4,1096,No website,,1096.0,https://www.google.com/maps/place/?q=place_id:ChIJB66moVf924ARYHu6eueE7IE
El Pueblo Mexican Food - La Jolla,Mexican restaurant,La Jolla,(858) 352-6357,"564 Pearl St, La Jolla, CA 92037",4.9,1587,Social only,https://elpueblomex.com/,1091.1,https://www.google.com/maps/place/?q=place_id:ChIJGXfa1uAD3IARNzoEUqHtNNU
Curbside Cafe,Breakfast restaurant,Vista,(760) 630-2747,"307 Main St, Vista, CA 92084",4.5,861,No website,,1076.2,https://www.google.com/maps/place/?q=place_id:ChIJqwvu35h23IARf1I98DuO1No
Marine Corps Exchange (MCX),Store,Oceanside,(760) 763-6979,"21-069 USMC Camp Pendleton, Oceanside, CA 92058",4.5,1530,Social only,https://www.mymcx.com/,1051.9,https://www.google.com/maps/place/?q=place_id:ChIJHzJFvJdv3IARlJYjgpet2As
Big Rock Park,Park,Santee,(619) 258-4100,"8125 Arlette St, Santee, CA 92071",4.6,826,No website,,1032.5,https://www.google.com/maps/place/?q=place_id:ChIJ_84HZ9hX2YAR_w_nkt68TgU
Mariscos Negro Durazo,Seafood restaurant,Chula Vista,(619) 240-7148,"415 Broadway, Chula Vista, CA 91910",4.2,1021,No website,,1021.0,https://www.google.com/maps/place/?q=place_id:ChIJfS2BmuVN2YARgk3ymYGLj4Q
Taco Fiesta Restaurant,Mexican restaurant,San Diego,(619) 283-5285,"6201 Mission Gorge Rd, San Diego, CA 92120",4,1020,No website,,1020.0,https://www.google.com/maps/place/?q=place_id:ChIJPZihW8FV2YARfO-mrA_eNTY
El Pueblo Mexican Food & Bar - Carmel Valley,Mexican restaurant,San Diego,(858) 925-7129,"5965 Village Way e107, San Diego, CA 92130",4.8,1475,Social only,https://elpueblomex.com/,1014.1,https://www.google.com/maps/place/?q=place_id:ChIJp_33wbgJ3IARqR-3nQO0Jng
Bonny's Cafe,Cafe,El Cajon,(619) 579-3464,"596 Broadway, El Cajon, CA 92021",4.6,807,No website,,1008.8,https://www.google.com/maps/place/?q=place_id:ChIJ65EJb0xY2YARXeQwe9AEcU0
Leyla's Smoke & Vape,Smoke shop,San Diego,(619) 539-7225,"32 25th St, San Diego, CA 92102",5,799,No website,,998.8,https://www.google.com/maps/place/?q=place_id:ChIJjRHMT25T2YARgmQQ45H2hxk
Payless Wireless Phone Repair,Mobile phone repair shop,San Diego,(619) 717-4000,"6074 El Cajon Blvd Ste C, San Diego, CA 92115",4.8,780,No website,,975.0,https://www.google.com/maps/place/?q=place_id:ChIJ051NXpdW2YAR1k0XDXC47tU
Por Vida,Coffee shop,San Diego,(619) 564-8568,"2146 Logan Ave, San Diego, CA 92113",4.5,773,No website,,966.2,https://www.google.com/maps/place/?q=place_id:ChIJCyXLNG1T2YARz7xa-1oI_mg
Flora's Alterations,Clothing alteration service,San Diego,(619) 646-5864,"2936 Webster Ave, San Diego, CA 92113",4.9,765,No website,,956.2,https://www.google.com/maps/place/?q=place_id:ChIJiac-IART2YARypKH4KMOJqU
MC Smoke & Vape,Tobacco shop,San Diego,(858) 239-8982,"9465 Black Mountain Rd, San Diego, CA 92126",4.8,759,No website,,948.8,https://www.google.com/maps/place/?q=place_id:ChIJL1OW0iv524ARRcvJbhjHse0
"Sun Moon Perfume, Inc.",Perfume store,Chula Vista,(619) 427-5448,"689 Palomar St, Chula Vista, CA 91911",4.4,1709,Social only,https://www.facebook.com/SunMoonPerfumes/,940.0,https://www.google.com/maps/place/?q=place_id:ChIJ077NoytM2YARx0CDxxdt-Q8
South Bay Dental,Dental clinic,San Diego,(619) 423-1991,"1850 Coronado Ave Ste 404, San Diego, CA 92154",5,752,No website,,940.0,https://www.google.com/maps/place/?q=place_id:ChIJgxziJRFM2YARg_3vlyK_Bjo
Mission Valley Smoke Shop and Cigars,Smoke shop,San Diego,(619) 467-9864,"10459 San Diego Mission Rd, San Diego, CA 92108",5,746,No website,,932.5,https://www.google.com/maps/place/?q=place_id:ChIJ9_RrHtxV2YARN12_2ruKZ0I
The Best Donuts,Bakery,San Diego,(619) 675-5151,"879 W Harbor Dr, San Diego, CA 92101",4.6,743,No website,,928.8,https://www.google.com/maps/place/?q=place_id:ChIJ5SIIUABT2YAR5u6pHSRl7DY
Los Taquitos Taco Shop,Taco restaurant,Chula Vista,(619) 425-3965,"1665 Third Ave, Chula Vista, CA 91911",4.3,928,No website,,928.0,https://www.google.com/maps/place/?q=place_id:ChIJ3Zvr0JZO2YARp0BXfISCQto
Hernandez Hideaway Restaurant,Mexican restaurant,Escondido,(760) 746-1444,"19320 Lake Dr, Escondido, CA 92029",4.2,927,No website,,927.0,https://www.google.com/maps/place/?q=place_id:ChIJexBpUSn024AR0R2k6jYDWuU
Ortiz's Taco Shop,Mexican restaurant,San Diego,(619) 222-4476,"3704 Voltaire St, San Diego, CA 92107",4.6,738,No website,,922.5,https://www.google.com/maps/place/?q=place_id:ChIJnUvR1qyr3oARr6fnH20MOh0
Los Tito's Mexican Food,Mexican restaurant,San Diego,(619) 233-8226,"2850 National Ave #108, San Diego, CA 92113",4,910,No website,,910.0,https://www.google.com/maps/place/?q=place_id:ChIJOU0ZCQxT2YARLe-iyUz4PeY
Sesame Donuts,Donut shop,San Diego,(858) 451-6621,"11040 Rancho Carmel Dr #6, San Diego, CA 92128",4.7,723,No website,,903.8,https://www.google.com/maps/place/?q=place_id:ChIJv6tjOfn524AR-6X7IwSSH-Q
La Quinta Grill Restaurante,Mexican restaurant,Chula Vista,(619) 476-7610,"625 E St, Chula Vista, CA 91910",4.3,1627,Social only,https://www.facebook.com/La-Quinta-Grill-Mexican-Restaurant-Cantina-111505838889666/,894.9,https://www.google.com/maps/place/?q=place_id:ChIJO63RLPFN2YAR4wiNxYrdnbM
Par Liquor,Liquor store,San Diego,(619) 266-1740,"5055 Federal Blvd, San Diego, CA 92102",4.7,699,No website,,873.8,https://www.google.com/maps/place/?q=place_id:ChIJO2oTyuRT2YARjUihlvcDrVQ
Centifonti's Bar & Restaurant,Restaurant,La Mesa,(619) 461-4434,"8365 La Mesa Blvd, La Mesa, CA 91942",4.5,688,No website,,860.0,https://www.google.com/maps/place/?q=place_id:ChIJWa-8WDxX2YARrhbZzHk6tpM
CARVA TIRE LLC,Tire shop,Lakeside,(619) 328-2099,"8828 Winter Gdns Blvd, Lakeside, CA 92040",4.9,688,No website,,860.0,https://www.google.com/maps/place/?q=place_id:ChIJZY05PIlY2YAR0XnTZA6VRRg
La Sierra Cafe,Mexican restaurant,National City,(619) 477-5061,"306 Highland Ave, National City, CA 91950",4.2,836,No website,,836.0,https://www.google.com/maps/place/?q=place_id:ChIJCxeo0TVS2YARMg3-k-44CN0
Main Street Cafe,Restaurant,Fallbrook,(760) 731-1405,"507 S Main Ave, Fallbrook, CA 92028",4.6,666,No website,,832.5,https://www.google.com/maps/place/?q=place_id:ChIJDWho-fx_3IARiPeZQ7JQBP4
Laylah's Jamaican Food,Jamaican restaurant,San Diego,(619) 269-5937,"3160 Main St, San Diego, CA 92113",4.2,832,No website,,832.0,https://www.google.com/maps/place/?q=place_id:ChIJWSgHK5lW2YARgoDlZZoWCTw
Mobile iPhone Repair Vista,Mobile phone repair shop,Vista,(760) 216-6695,"2082 Thibodo Rd, Vista, CA 92081",5,664,No website,,830.0,https://www.google.com/maps/place/?q=place_id:ChIJQyjcY8B33IAR_3gqv1MOrb8
Tea n More,Restaurant,San Diego,(858) 571-2926,"7380 Clairemont Mesa Blvd #111, San Diego, CA 92111",4.5,659,No website,,823.8,https://www.google.com/maps/place/?q=place_id:ChIJF_b-GZv_24ARuFbPdIDpwI8
Budget Auto Glass Replacement In San Diego,Auto glass shop,El Cajon,(619) 971-3300,"251 N Marshall Ave, El Cajon, CA 92020",4.8,648,No website,,810.0,https://www.google.com/maps/place/?q=place_id:ChIJsYpi48hZ2YARe1qfwwn8cSc
$10 Notary Public - Nidhi Gupta,Notary public,San Diego,(858) 275-4995,"10214 Black Mountain Rd, San Diego, CA 92126",5,1160,Social only,https://sites.google.com/view/nidhinotarypublic/home,797.5,https://www.google.com/maps/place/?q=place_id:ChIJA_1nwer524ARZo6J5PQQ-Ps
Ayberto's Mexican Food,Mexican restaurant,San Diego,(619) 431-5288,"3696 Ocean View Blvd, San Diego, CA 92113",4.2,795,No website,,795.0,https://www.google.com/maps/place/?q=place_id:ChIJ1w6oMqNT2YARebmzoj5wuyg
Poway Plaza,Shopping mall,Poway,(619) 780-0101,"13301 Poway Rd, Poway, CA 92064",4.3,793,No website,,793.0,https://www.google.com/maps/place/?q=place_id:ChIJjSWeOVL624ARuO2cOaNF2tU
Trujillo's Taco Shop,Taco restaurant,San Diego,(619) 583-4182,"5119 College Ave, San Diego, CA 92115",4.3,781,No website,,781.0,https://www.google.com/maps/place/?q=place_id:ChIJi0bhuIVW2YARhsWG48wwau0
Cali's & Fries,Mexican restaurant,San Diego,(858) 279-7733,"5150 Murphy Canyon Rd #109, San Diego, CA 92123",4.5,620,No website,,775.0,https://www.google.com/maps/place/?q=place_id:ChIJCU2-0Ev-24ARBXyzYuhrx_s
Beyer Deli,Restaurant,San Diego,(619) 428-4704,"3065 Beyer Blvd # A105, San Diego, CA 92154",4.8,601,No website,,751.2,https://www.google.com/maps/place/?q=place_id:ChIJR5xN8bJO2YAR9hN66jSAt28
Mariscos Negro Durazo,Seafood restaurant,Lemon Grove,(619) 337-7704,"6954 Federal Blvd, Lemon Grove, CA 91945",3.8,745,No website,,745.0,https://www.google.com/maps/place/?q=place_id:ChIJY_e9uMxW2YAR_pUflZr5SZQ
Los Tito's Mexican Food,Mexican restaurant,La Mesa,(619) 466-8226,"5257 Baltimore Dr, La Mesa, CA 91942",4.1,737,No website,,737.0,https://www.google.com/maps/place/?q=place_id:ChIJE-6iYhxX2YARMk4gIn7Ej_8
Tacos El Poblano,Taco restaurant,Chula Vista,(619) 216-0155,"885 E H St, Chula Vista, CA 91910",4,736,No website,,736.0,https://www.google.com/maps/place/?q=place_id:ChIJBTjm5v1N2YARgIBc_sG1Fvs
Shabumi,Hot pot restaurant,San Diego,(858) 268-3312,"5667 Balboa Ave, San Diego, CA 92111",4.5,582,No website,,727.5,https://www.google.com/maps/place/?q=place_id:ChIJJWTSxaUB3IARYt-UJnehCtA
Albertaco's,Mexican restaurant,San Marcos,(760) 471-1226,"500 W San Marcos Blvd #103, San Marcos, CA 92069",4.1,707,No website,,707.0,https://www.google.com/maps/place/?q=place_id:ChIJ7UEwc6iK24ARZcko9TQp_ZI
Tortillería Salsa,Grocery store,El Cajon,(619) 588-5217,"480 W Chase Ave, El Cajon, CA 92020",4.5,555,No website,,693.8,https://www.google.com/maps/place/?q=place_id:ChIJ5ZEeBOpZ2YAR2zJT1HkFrBA
